"ENTREZ_ID","KEGG_ID"
248,"map00790, map01100"
249,"map00790, map01100"
250,"map00790, map01100"
251,"map00790, map01100"
262,"map00270, map00330, map01100"
267,"map04141"
268,"map04060, map04350"
269,"map04060, map04350"
270,"map00230, map01100"
271,"map00230, map01100"
272,"map00230, map01100"
273,"map04666"
275,"map00260, map00670, map00910, map01100"
276,"map00500, map01100, map04970, map04973"
277,"map00500, map01100, map04970, map04973"
278,"map00500, map01100, map04970, map04973"
279,"map00500, map01100, map04972, map04973"
280,"map00500, map01100, map04972, map04973"
284,"map05323"
290,"map00480, map01100, map04614, map04640"
291,"map04020, map05012, map05016"
292,"map04020, map05012, map05016"
293,"map04020, map05012, map05016"
314,"map00260, map00350, map00360, map00410, map01100"
316,"map00280, map00350, map00380, map00750, map00760, map00982, map01100"
317,"map04115, map04210, map05010, map05012, map05014, map05016, map05222"
318,"map00230, map00240"
322,"map05010"
324,"map04310, map04810, map05200, map05210, map05213, map05217"
326,"map04120, map05340"
328,"map03410"
329,"map04120, map04210, map04510, map04621, map05145, map05200, map05222"
330,"map04120, map04210, map04510, map04621, map05145, map05200, map05222"
331,"map04120, map04210, map04510, map04621, map05145, map05200, map05222"
332,"map05200, map05210"
335,"map03320, map04975, map04977, map05143"
336,"map03320"
337,"map04975, map04977"
338,"map04975, map04977"
343,"map04976"
345,"map03320"
348,"map05010"
351,"map05010"
353,"map00230, map01100"
354,"map05200, map05215"
355,"map04010, map04060, map04115, map04210, map04650, map04940, map05010, map05142, map05143, map05200, map05320, map05330, map05332"
356,"map04010, map04060, map04210, map04650, map04722, map04940, map05142, map05143, map05200, map05320, map05330, map05332"
358,"map04964, map04976"
359,"map04962"
360,"map04962"
361,"map04962, map04976"
362,"map04970"
364,"map03320"
366,"map04976"
367,"map04114, map05200, map05215"
368,"map02010"
369,"map04012, map04270, map04650, map04720, map04730, map04810, map04910, map04914, map05160, map05200, map05210, map05211, map05212, map05213, map05214, map05215, map05218, map05219, map05220, map05221, map05223"
374,"map04012"
375,"map05110"
382,"map04144, map04666"
383,"map00330, map01100, map05146"
384,"map00330, map01100, map05146"
